epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,995.314,2.48347,4.11591,2.39452,6e-05,0.04712,8e-05,2e-05,3.1333,6.39552,3.15374,0.0550257,0.00499714,0.00499714
2,1964.6,2.40602,4.50291,2.35387,9e-05,0.0694,0.0001,3e-05,2.76218,5.83562,2.68108,0.00982777,0.0097992,0.0097992
3,2970.19,2.28828,4.46919,2.25581,0.00043,0.10774,0.00063,0.00016,2.57418,5.79444,2.49053,0.009604,0.009604,0.009604
4,3944,2.22478,4.44324,2.13387,0.00095,0.1073,0.00138,0.0004,2.37232,5.02695,2.29702,0.009406,0.009406,0.009406
5,4910.75,2.18072,4.21458,2.07691,0.00209,0.11489,0.00285,0.00092,2.33598,5.09681,2.18422,0.009208,0.009208,0.009208
6,5753.84,2.13848,4.18904,2.09645,0.00318,0.15836,0.00326,0.00105,2.35913,4.59934,2.31492,0.00901,0.00901,0.00901
7,6708.51,2.07951,4.0791,2.0215,0.00187,0.12293,0.00147,0.0006,2.21574,4.71845,2.10729,0.008812,0.008812,0.008812
8,7732.38,2.05846,3.99708,2.02058,0.00584,0.19551,0.00692,0.00263,2.24469,4.46883,2.25003,0.008614,0.008614,0.008614
9,8793.25,2.06277,3.98023,2.04544,0.00374,0.1808,0.00455,0.00168,2.21701,4.56255,2.26225,0.008416,0.008416,0.008416
10,9776.71,2.03328,4.05618,1.99996,0.00343,0.21798,0.00589,0.00206,2.17353,4.55319,2.21105,0.008218,0.008218,0.008218
11,10763.4,1.9923,4.02375,1.96438,0.00205,0.20805,0.00365,0.00138,2.19231,4.9186,2.10998,0.00802,0.00802,0.00802
12,11721.7,1.98039,3.98691,1.94688,0.00316,0.21344,0.01469,0.00627,2.15948,4.57181,2.13615,0.007822,0.007822,0.007822
